#{"t_start": 1766238721.7622392, "env_id": "None"}
r,l,t
1.056408,1517,4.278927
1.246693,1517,7.539412
1.046237,1517,10.543651
1.132227,1517,12.683364
0.993393,1517,16.237026
1.044382,1517,19.748569
1.211656,1517,23.41722
0.690901,1517,25.765072
1.164643,1517,29.476673
0.864243,1517,33.057241
0.849353,1517,36.681483
0.918818,1517,39.01799
0.942526,1517,42.591002
