#{"t_start": 1764363693.1462362, "env_id": "None"}
r,l,t
-14.883657,472,8.685355
-15.406106,472,19.559964
-15.039236,472,30.446145
-14.964696,472,41.535294
-15.126218,472,52.518363
-14.781838,472,63.483265
-15.226072,472,74.197204
-14.396502,472,84.918206
-15.406869,472,95.825351
-15.106121,472,106.948644
-15.231415,472,117.839383
-14.926513,472,128.692398
-14.869241,472,139.612395
-14.866358,472,150.571765
-14.926734,472,161.41408
-14.944375,472,172.346274
-14.912265,472,183.285946
-14.828192,472,194.023439
-14.803088,472,204.699278
-15.405425,472,215.46248
-14.150788,472,226.556454
-14.627593,472,237.526928
-15.064894,472,248.366149
-14.657744,472,259.098963
-14.803527,472,269.960135
-14.387768,472,281.002288
-14.32741,472,292.118976
-14.527145,472,303.003524
-14.68462,472,313.641119
-14.44771,472,324.197595
-14.925324,472,334.926791
-14.296676,472,345.915075
-14.182412,472,357.122354
-14.152019,472,367.977184
-13.468315,472,378.911406
-12.818245,472,389.707924
-13.280293,472,400.860013
-12.678303,472,411.853045
-11.828452,472,422.884678
-11.378216,472,433.707994
-11.672458,472,444.640318
-10.726036,472,455.662777
