#{"t_start": 1764363240.9456055, "env_id": "None"}
r,l,t
-14.797618,471,8.707269
-15.463601,471,19.41491
-14.993323,471,30.282991
-14.905356,471,41.049359
-15.161486,471,51.750943
-14.741114,471,62.22708
-15.124045,471,72.788466
-14.420508,471,83.620415
-15.347106,471,94.347089
-15.247414,471,105.057696
-15.087734,471,115.768916
-14.938637,471,126.611813
-14.796542,471,137.567142
-15.022342,471,148.448788
-14.976332,471,159.080261
-14.839719,471,169.694262
-14.893718,471,180.197511
-14.749612,471,190.821752
-14.852156,471,201.555396
-15.411525,471,212.467673
-14.298598,471,223.249313
-14.787954,471,233.827204
-15.252088,471,244.608659
-14.620906,471,255.228008
-14.829529,471,265.908896
-14.624529,471,276.725247
-14.264797,471,287.159631
-14.637933,471,297.502542
-14.86374,471,308.265433
-14.620878,471,319.068611
-15.065439,471,329.759031
-14.490419,471,340.431082
-14.117264,471,351.140718
-14.667912,471,361.998173
-13.549341,471,372.861405
-13.030805,471,383.492994
-13.497127,471,394.257513
-12.468028,471,404.629376
-11.8818,471,415.129056
-12.049724,471,425.544014
-10.973857,471,436.129879
-10.328335,471,446.989428
