date,portfolio_value,daily_return
2021-12-10,10000.0,0.0
2021-12-13,9900.36096941927,-0.009963903058073154
2021-12-14,9764.029115959398,-0.013770392198928885
2021-12-15,9928.072403117592,0.016800778163398044
2021-12-16,9766.503553111115,-0.016273939536917716
2021-12-17,9697.691612313341,-0.007045708878675882
2021-12-20,9623.440833695453,-0.007656541534442152
2021-12-21,9761.338971160654,0.014329400455434228
2021-12-22,9899.780043125103,0.01418259035706737
2021-12-23,9936.698602616061,0.0037292302788682454
2021-12-27,10071.352424924844,0.013551162986198717
2021-12-28,10021.769391766922,-0.004923175266433377
2021-12-29,10029.138873585094,0.0007353473753075157
2021-12-30,9998.868278056454,-0.0030182646695988023
2021-12-31,9967.267678768969,-0.0031604176001433617
2022-01-03,9994.156126362748,0.00269767487543795
2022-01-04,9939.28051206103,-0.005490770166874404
2022-01-05,9673.743387410008,-0.026715930225412143
2022-01-06,9601.801806481015,-0.007436788226429792
2022-01-07,9595.27595344839,-0.0006796487955229359
2022-01-10,9621.250671271975,0.002707031871683819
2022-01-11,9717.143676508516,0.009966792105611333
2022-01-12,9775.026413435638,0.005956764544611426
2022-01-13,9588.645126099731,-0.019067087847427944
2022-01-14,9637.977068716858,0.005144829323472134
2022-01-17,9514.432485673591,-0.012818518052327853
2022-01-18,9466.772188559311,-0.005009263262527241
2022-01-19,9432.506851968725,-0.003619537463043199
2022-01-20,9350.645812277537,-0.008678609088325406
2022-01-21,9205.271722914991,-0.01554695710660605
2022-01-24,9214.916374244873,0.00104773130225726
2022-01-25,9075.691707536842,-0.015108619661178269
2022-01-26,9130.764442465665,0.006068158406382242
2022-01-27,9110.850621468446,-0.0021809587929575882
2022-01-28,9387.997485786758,0.030419427980221216
2022-01-31,9528.670666633783,0.014984364989445444
2022-02-01,9560.723518971163,0.003363832528037381
2022-02-02,9768.455041291385,0.02172759435078584
2022-02-03,9538.793230190218,-0.023510556186252994
2022-02-04,9583.821049916021,0.004720494368542428
2022-02-07,9495.830690711322,-0.009181135451759116
2022-02-08,9579.237329770953,0.008783501072867317
2022-02-09,9703.359296289727,0.012957395484191636
2022-02-10,9520.934050167109,-0.01880021552869562
2022-02-11,9373.346355588765,-0.015501388183205856
2022-02-14,9397.507413587935,0.0025776341855502597
2022-02-15,9503.079883618882,0.01123409276360874
