date,portfolio_value,daily_return
2022-01-24,10000.0,0.0
2022-01-25,10015.746542333109,0.0015746542333108238
2022-01-26,9991.73580834238,-0.002397298482868293
2022-01-27,9921.915005689341,-0.0069878551627379215
2022-01-28,9886.022611560502,-0.003617486554587379
2022-01-31,9931.746364104365,0.004625090831816836
2022-02-01,9979.338929464559,0.004791963428728341
2022-02-02,9993.678050779183,0.0014368808811862088
2022-02-03,10028.72399722649,0.0035068116332379606
2022-02-04,9963.982207678842,-0.006455635788316982
2022-02-07,9959.782039626569,-0.0004215350815296448
2022-02-08,9973.533388002734,0.0013806876818642788
2022-02-09,9993.872734919865,0.002039332112889758
2022-02-10,10035.956362224048,0.004210942886748725
2022-02-11,9957.689120230329,-0.007798682972389281
2022-02-14,9999.492187070195,0.004198069083612754
2022-02-15,9995.897162042813,-0.00035952075966716457
2022-02-16,9987.065581564644,-0.0008835205419783776
2022-02-17,10025.959873169886,0.0038944664263582673
2022-02-18,10041.743218177247,0.0015742477734823623
2022-02-21,10035.056991192487,-0.0006658432544518478
2022-02-22,10029.173687767612,-0.0005862750386009807
2022-02-23,10014.472098427847,-0.0014658824143903848
2022-02-24,9977.727871016821,-0.0036691127649947086
2022-02-25,10000.994374368322,0.0023318438478447945
2022-02-28,10026.893063353426,0.002589611394191005
2022-03-01,10083.396614029136,0.005635200287736231
2022-03-02,10138.002263711345,0.005415402346292231
2022-03-03,10102.30567197862,-0.003521067642734743
2022-03-04,10116.596024559069,0.001414563471395125
2022-03-07,10181.209085016824,0.006386838053125787
2022-03-08,10148.89828178186,-0.0031735723100426716
2022-03-09,10207.243300062755,0.005748901670009854
2022-03-10,10150.711042934852,-0.0055384451478250885
2022-03-11,10136.435266617893,-0.0014063819033539593
2022-03-14,10094.136669160123,-0.004172926314349401
2022-03-15,9985.288842631944,-0.010783272517077558
2022-03-16,9952.068112089142,-0.0033269674083905576
2022-03-17,10035.672308773675,0.008400685741185354
2022-03-18,10078.315400444451,0.0042491514627769345
2022-03-21,10077.339024751222,-9.687885866194179e-05
2022-03-22,10064.870765305493,-0.0012372571186802794
2022-03-23,10052.890374620518,-0.0011903173885027263
2022-03-24,10081.139062417218,0.0028100065497598248
2022-03-25,10125.440578884909,0.00439449512534229
2022-03-28,10108.797423143898,-0.0016436969444784122
2022-03-29,10072.626565953855,-0.003578156300494406
2022-03-30,10102.571832393991,0.0029729352363119244
2022-03-31,10131.874744370343,0.0029005398291148676
2022-04-01,10107.038190393938,-0.002451328564854749
2022-04-04,10082.81941201986,-0.00239622903543546
2022-04-05,10110.706505468715,0.0027658031260195948
2022-04-06,10039.677985363158,-0.007025079806949108
2022-04-07,10016.81764740329,-0.002276999122202583
2022-04-08,10031.715383746709,0.0014872723920735798
2022-04-11,10037.724106688895,0.0005989726295385633
2022-04-12,10002.824216982164,-0.0034768727787082288
2022-04-13,10024.661431286628,0.002183104874260433
2022-04-14,10071.02847761674,0.004625297986164512
2022-04-18,10012.230865416535,-0.0058382927156728215
2022-04-19,10016.051747912337,0.00038162149346754326
2022-04-20,9985.94644296561,-0.003005705811474413
2022-04-21,10015.732758279933,0.00298282345939338
2022-04-22,9963.086040023534,-0.005256402055344056
2022-04-25,9866.775508861414,-0.0096667368700043
2022-04-26,9841.078904628244,-0.0026043568347218216
2022-04-27,9812.880094536931,-0.002865418554672039
2022-04-28,9771.445514586998,-0.004222468791094336
2022-04-29,9832.434466251421,0.006241548558335364
2022-05-02,9747.723685018602,-0.008615443258084055
2022-05-03,9683.634780052473,-0.006574756018641326
2022-05-04,9707.172465773401,0.0024306664032203162
2022-05-05,9803.86101153133,0.009960526208722786
2022-05-06,9696.688625140345,-0.010931650934762116
2022-05-09,9681.872772088278,-0.0015279291338338163
2022-05-10,9588.772538382522,-0.009615932361159873
2022-05-11,9572.390142243938,-0.0017084977324269834
2022-05-12,9577.85772031784,0.0005711821178049359
2022-05-13,9529.00831236661,-0.005100243642960356
2022-05-16,9546.939533185448,0.0018817509892994355
2022-05-17,9563.344805314817,0.0017183802277518367
2022-05-18,9569.009741954345,0.0005923593423484697
2022-05-19,9509.162022873446,-0.006254327322763875
2022-05-20,9547.138020907394,0.0039936219345722
2022-05-23,9568.088075490394,0.0021943806130297894
2022-05-24,9600.03748613269,0.003339163518377264
2022-05-25,9632.211624367152,0.003351459645958288
2022-05-26,9637.374119953785,0.0005359616034155135
2022-05-27,9664.610913894661,0.002826163392835701
2022-05-30,9706.724502209148,0.004357504786244526
2022-05-31,9699.017890634312,-0.0007939456376950815
2022-06-01,9664.455614428472,-0.003563482055148448
2022-06-02,9656.450165463384,-0.0008283393586221433
2022-06-03,9731.839579644478,0.007807156138052385
2022-06-06,9664.91637273077,-0.006876727299706897
2022-06-07,9632.850668349662,-0.003317742559219683
2022-06-08,9683.345047267867,0.005241893667480291
2022-06-09,9652.791372639558,-0.00315528099837048
2022-06-10,9597.88988078305,-0.00568762855603866
2022-06-13,9556.441384974056,-0.00431850087090313
2022-06-14,9347.758505533926,-0.02183688164176356
2022-06-15,9307.32131185556,-0.004325870598221759
2022-06-16,9420.226410094718,0.012130783332400918
2022-06-17,9394.69238305659,-0.0027105534332768633
2022-06-20,9372.16652436003,-0.002397721796318364
2022-06-21,9395.723239946343,0.0025134759956606523
2022-06-22,9394.73324810896,-0.00010536621951295899
2022-06-23,9428.608886015563,0.0036058115767600984
2022-06-24,9434.263562224012,0.0005997360031377852
2022-06-27,9491.172691635153,0.006032175064412115
2022-06-28,9467.713542527452,-0.002471680778538099
2022-06-29,9426.702182536175,-0.004331706890693288
2022-06-30,9439.449534718486,0.0013522599882200836
2022-07-01,9417.670713469768,-0.002307213060318225
2022-07-04,9473.38254982067,0.005915670450360899
2022-07-05,9472.221827710406,-0.00012252456861738814
2022-07-06,9401.311219646599,-0.007486164212958113
2022-07-07,9338.515614220893,-0.006679451829493477
2022-07-08,9360.319680655777,0.002334853560846506
2022-07-11,9349.336409667267,-0.001173386311923541
2022-07-12,9328.013290302566,-0.0022807093926636712
2022-07-13,9304.163286206134,-0.0025568149780861305
2022-07-14,9318.124755403851,0.001500561497927988
2022-07-15,9259.585970470114,-0.006282249537364115
2022-07-18,9300.507930487434,0.004419415743622368
2022-07-19,9275.945920215738,-0.0026409321356719584
2022-07-20,9323.02533581851,0.005075430151028293
2022-07-21,9305.426876339152,-0.001887633986335402
2022-07-22,9394.473755941139,0.009569349239464398
2022-07-25,9415.769521121956,0.0022668396052891726
2022-07-26,9395.551234240469,-0.002147279288870929
2022-07-27,9368.278764685205,-0.0029027003179838973
2022-07-28,9450.139177308196,0.008738041926289908
2022-07-29,9525.189894320481,0.007941757851831266
2022-08-01,9604.446929415551,0.008320782679863248
2022-08-02,9628.588485312202,0.0025135810603225117
2022-08-03,9560.767784733423,-0.007043680460768975
2022-08-04,9613.902175524776,0.005557544329880759
2022-08-05,9661.392257893944,0.0049397301430909035
2022-08-08,9598.805524773352,-0.0064780242277664435
2022-08-09,9629.946652377157,0.003244271125551368
2022-08-10,9622.987817508894,-0.0007226244463717224
2022-08-11,9661.282576790598,0.003979508236727325
2022-08-12,9637.81833464633,-0.002428688112346089
2022-08-15,9703.09729053043,0.006773208792433039
2022-08-16,9674.069558580148,-0.002991594444653356
2022-08-17,9671.273198815341,-0.0002890572315894513
2022-08-18,9619.12395212783,-0.005392180079650699
2022-08-19,9619.444561415614,3.3330404034748184e-05
2022-08-22,9558.3638841125,-0.006349709373877355
2022-08-23,9488.507299215233,-0.007308424929645008
2022-08-24,9499.889509214869,0.001199578568124915
2022-08-25,9501.965336367826,0.00021851066277611686
2022-08-26,9556.9647395012,0.005788213404954057
2022-08-29,9456.819781221173,-0.010478741002998948
2022-08-30,9429.310370114803,-0.0029089494928301596
2022-08-31,9385.650556209093,-0.004630223440739045
2022-09-01,9336.39649451887,-0.0052478047627331215
2022-09-02,9301.74153708051,-0.0037118129525353094
2022-09-05,9316.794416859999,0.0016182861800106974
2022-09-06,9289.704588880648,-0.0029076339744417146
2022-09-07,9267.41116624918,-0.002399798876075443
2022-09-08,9346.385772931002,0.008521754917860891
2022-09-09,9333.914957585184,-0.00133429281101749
2022-09-12,9373.990783645218,0.004293570944469138
2022-09-13,9401.640453982262,0.002949615694660457
2022-09-14,9268.375961017462,-0.014174600019760675
2022-09-15,9265.381085176175,-0.0003231284373749199
2022-09-16,9181.91067635117,-0.009008847888464233
